область,month,тип_квартири,середня_ціна_грн,data_status,shelling_count,drone_count,battle_count,total_attacks,fatalities,any_attack,unemp_monthly,total_attacks_lag1,total_attacks_lag2,fatalities_lag1,fatalities_lag2,rent_lag1,rent_lag2,log_rent,unemp_lag1
Івано-Франківська,2022-02,1-кімнатна квартира,6620.0,original,2,0,0,2,0,1,8456.0,,,,,,,8.797850648931053,
Івано-Франківська,2022-03,1-кімнатна квартира,6800.0,original,3,1,0,4,0,1,8456.0,2.0,,0.0,,6620.0,,8.824677891164198,8456.0
Івано-Франківська,2022-04,1-кімнатна квартира,5725.0,original,0,0,0,0,0,0,8456.0,4.0,2.0,0.0,0.0,6800.0,6620.0,8.65259782842244,8456.0
Івано-Франківська,2022-05,1-кімнатна квартира,8779.0,original,0,0,0,0,0,0,8456.0,0.0,4.0,0.0,0.0,5725.0,6800.0,9.080117784926209,8456.0
Івано-Франківська,2022-06,1-кімнатна квартира,7831.0,original,0,0,0,0,0,0,8456.0,0.0,0.0,0.0,0.0,8779.0,5725.0,8.965845494750937,8456.0
Івано-Франківська,2022-07,1-кімнатна квартира,8591.0,original,0,0,0,0,0,0,8456.0,0.0,0.0,0.0,0.0,7831.0,8779.0,9.058470422638056,8456.0
Івано-Франківська,2022-08,1-кімнатна квартира,9438.0,original,0,0,0,0,0,0,8456.0,0.0,0.0,0.0,0.0,8591.0,7831.0,9.152499372286332,8456.0
Івано-Франківська,2022-09,1-кімнатна квартира,9021.0,original,0,0,0,0,0,0,6807.0,0.0,0.0,0.0,0.0,9438.0,8591.0,9.107310471656639,8456.0
Івано-Франківська,2022-10,1-кімнатна квартира,9486.0,original,2,0,0,2,0,1,6807.0,0.0,0.0,0.0,0.0,9021.0,9438.0,9.157572306437528,6807.0
Івано-Франківська,2022-11,1-кімнатна квартира,8695.0,original,0,0,0,0,0,0,6807.0,2.0,0.0,0.0,0.0,9486.0,9021.0,9.070503426788383,6807.0
Івано-Франківська,2022-12,1-кімнатна квартира,9965.0,original,2,0,0,2,0,1,4934.0,0.0,2.0,0.0,0.0,8695.0,9486.0,9.206834232646894,6807.0
Івано-Франківська,2023-01,1-кімнатна квартира,9477.0,original,1,0,0,1,0,1,4934.0,2.0,0.0,0.0,0.0,9965.0,8695.0,9.156623089470195,4934.0
Івано-Франківська,2023-02,1-кімнатна квартира,9241.0,original,0,0,0,0,0,0,4934.0,1.0,2.0,0.0,0.0,9477.0,9965.0,9.13140538388804,4934.0
Івано-Франківська,2023-03,1-кімнатна квартира,9227.0,original,1,0,0,1,0,1,3885.0,0.0,1.0,0.0,0.0,9241.0,9477.0,9.129889247578555,4934.0
Івано-Франківська,2023-04,1-кімнатна квартира,9546.0,original,0,0,0,0,0,0,3885.0,1.0,0.0,0.0,0.0,9227.0,9241.0,9.163877497565842,3885.0
Івано-Франківська,2023-05,1-кімнатна квартира,9018.0,original,0,0,0,0,0,0,3885.0,0.0,1.0,0.0,0.0,9546.0,9227.0,9.106977858981029,3885.0
Івано-Франківська,2023-06,1-кімнатна квартира,9302.0,original,0,0,0,0,0,0,3340.0,0.0,0.0,0.0,0.0,9018.0,9546.0,9.137984709784043,3885.0
Івано-Франківська,2023-07,1-кімнатна квартира,9807.0,original,0,0,0,0,0,0,3340.0,0.0,0.0,0.0,0.0,9302.0,9018.0,9.19085169539232,3340.0
Івано-Франківська,2023-08,1-кімнатна квартира,9922.0,original,0,1,0,1,1,1,3340.0,0.0,0.0,0.0,0.0,9807.0,9302.0,9.202509792860994,3340.0
Івано-Франківська,2023-09,1-кімнатна квартира,9939.0,original,0,0,0,0,0,0,3229.0,1.0,0.0,1.0,0.0,9922.0,9807.0,9.204221690968005,3340.0
Івано-Франківська,2023-10,1-кімнатна квартира,9220.0,original,0,0,0,0,0,0,3229.0,0.0,1.0,0.0,1.0,9939.0,9922.0,9.12913031655064,3229.0
Івано-Франківська,2023-11,1-кімнатна квартира,9175.0,original,0,2,0,2,0,1,3229.0,0.0,0.0,0.0,0.0,9220.0,9939.0,9.12423767292277,3229.0
Івано-Франківська,2023-12,1-кімнатна квартира,8966.0,original,0,0,0,0,0,0,3229.0,2.0,0.0,0.0,0.0,9175.0,9220.0,9.101194924715385,3229.0
Івано-Франківська,2024-01,1-кімнатна квартира,9319.0,original,0,0,0,0,0,0,3229.0,0.0,2.0,0.0,0.0,8966.0,9175.0,9.139810605785655,3229.0
Івано-Франківська,2024-02,1-кімнатна квартира,10290.0,original,0,1,0,1,0,1,3229.0,0.0,0.0,0.0,0.0,9319.0,8966.0,9.238927828828094,3229.0
Івано-Франківська,2024-03,1-кімнатна квартира,9983.0,original,0,2,0,2,0,1,3229.0,1.0,0.0,0.0,0.0,10290.0,9319.0,9.208638925336425,3229.0
Івано-Франківська,2024-04,1-кімнатна квартира,9955.0,original,0,2,0,2,0,1,3229.0,2.0,1.0,0.0,0.0,9983.0,10290.0,9.205830216498297,3229.0
Івано-Франківська,2024-05,1-кімнатна квартира,10140.0,original,0,1,0,1,0,1,3229.0,2.0,2.0,0.0,0.0,9955.0,9983.0,9.224243277145174,3229.0
Івано-Франківська,2024-06,1-кімнатна квартира,11064.0,original,0,3,0,3,0,1,3044.0,1.0,2.0,0.0,0.0,10140.0,9955.0,9.311451873344595,3229.0
Івано-Франківська,2024-07,1-кімнатна квартира,10952.0,original,0,0,0,0,0,0,3044.0,3.0,1.0,0.0,0.0,11064.0,10140.0,9.301277366968284,3044.0
Івано-Франківська,2024-08,1-кімнатна квартира,11280.0,original,1,0,0,1,0,1,3044.0,0.0,3.0,0.0,0.0,10952.0,11064.0,9.33078652505205,3044.0
Івано-Франківська,2024-09,1-кімнатна квартира,11598.0,original,0,3,0,3,0,1,3095.0,1.0,0.0,0.0,0.0,11280.0,10952.0,9.358587948436385,3044.0
Івано-Франківська,2024-10,1-кімнатна квартира,11627.0,original,0,0,0,0,0,0,3095.0,3.0,1.0,0.0,0.0,11598.0,11280.0,9.361085258668608,3095.0
Івано-Франківська,2024-11,1-кімнатна квартира,10372.0,original,0,3,0,3,0,1,3095.0,0.0,3.0,0.0,0.0,11627.0,11598.0,9.246865146658555,3095.0
Івано-Франківська,2024-12,1-кімнатна квартира,10657.0,original,0,3,0,3,0,1,2703.0,3.0,0.0,0.0,0.0,10372.0,11627.0,9.273972232220956,3095.0
Івано-Франківська,2025-01,1-кімнатна квартира,11300.0,original,0,3,0,3,0,1,2703.0,3.0,3.0,0.0,0.0,10657.0,10372.0,9.332558004700433,2703.0
Івано-Франківська,2022-02,2-кімнатна квартира,9600.0,original,2,0,0,2,0,1,8456.0,,,,,,,9.169518377455928,
Івано-Франківська,2022-03,2-кімнатна квартира,8020.0,original,3,1,0,4,0,1,8456.0,2.0,,0.0,,9600.0,,8.98969370086056,8456.0
Івано-Франківська,2022-04,2-кімнатна квартира,9250.0,original,0,0,0,0,0,0,8456.0,4.0,2.0,0.0,0.0,8020.0,9600.0,9.132378830506472,8456.0
Івано-Франківська,2022-05,2-кімнатна квартира,9996.0,original,0,0,0,0,0,0,8456.0,0.0,4.0,0.0,0.0,9250.0,8020.0,9.209940291954844,8456.0
Івано-Франківська,2022-06,2-кімнатна квартира,9353.0,original,0,0,0,0,0,0,8456.0,0.0,0.0,0.0,0.0,9996.0,9250.0,9.143452426434552,8456.0
Івано-Франківська,2022-07,2-кімнатна квартира,10559.0,original,0,0,0,0,0,0,8456.0,0.0,0.0,0.0,0.0,9353.0,9996.0,9.264733855806515,8456.0
Івано-Франківська,2022-08,2-кімнатна квартира,11459.0,original,0,0,0,0,0,0,8456.0,0.0,0.0,0.0,0.0,10559.0,9353.0,9.346530726426447,8456.0
Івано-Франківська,2022-09,2-кімнатна квартира,11389.0,original,0,0,0,0,0,0,6807.0,0.0,0.0,0.0,0.0,11459.0,10559.0,9.340403256274351,8456.0
Івано-Франківська,2022-10,2-кімнатна квартира,10878.0,original,2,0,0,2,0,1,6807.0,0.0,0.0,0.0,0.0,11389.0,11459.0,9.294497679982905,6807.0
Івано-Франківська,2022-11,2-кімнатна квартира,10424.0,original,0,0,0,0,0,0,6807.0,2.0,0.0,0.0,0.0,10878.0,11389.0,9.251866118804681,6807.0
Івано-Франківська,2022-12,2-кімнатна квартира,10644.0,original,2,0,0,2,0,1,4934.0,0.0,2.0,0.0,0.0,10424.0,10878.0,9.27275163209758,6807.0
Івано-Франківська,2023-01,2-кімнатна квартира,10945.0,original,1,0,0,1,0,1,4934.0,2.0,0.0,0.0,0.0,10644.0,10424.0,9.300638009956963,4934.0
Івано-Франківська,2023-02,2-кімнатна квартира,10176.0,original,0,0,0,0,0,0,4934.0,1.0,2.0,0.0,0.0,10945.0,10644.0,9.227787285579904,4934.0
Івано-Франківська,2023-03,2-кімнатна квартира,9834.0,original,1,0,0,1,0,1,3885.0,0.0,1.0,0.0,0.0,10176.0,10945.0,9.193601047971885,4934.0
Івано-Франківська,2023-04,2-кімнатна квартира,9739.0,original,0,0,0,0,0,0,3885.0,1.0,0.0,0.0,0.0,9834.0,10176.0,9.1838937219612,3885.0
Івано-Франківська,2023-05,2-кімнатна квартира,10391.0,original,0,0,0,0,0,0,3885.0,0.0,1.0,0.0,0.0,9739.0,9834.0,9.248695325852646,3885.0
Івано-Франківська,2023-06,2-кімнатна квартира,10066.0,original,0,0,0,0,0,0,3340.0,0.0,0.0,0.0,0.0,10391.0,9739.0,9.216918687336305,3885.0
Івано-Франківська,2023-07,2-кімнатна квартира,10363.0,original,0,0,0,0,0,0,3340.0,0.0,0.0,0.0,0.0,10066.0,10391.0,9.245997049184217,3340.0
Івано-Франківська,2023-08,2-кімнатна квартира,11228.0,original,0,1,0,1,1,1,3340.0,0.0,0.0,0.0,0.0,10363.0,10066.0,9.326165937481774,3340.0
Івано-Франківська,2023-09,2-кімнатна квартира,11161.0,original,0,0,0,0,0,0,3229.0,1.0,0.0,1.0,0.0,11228.0,10363.0,9.320180837655714,3340.0
Івано-Франківська,2023-10,2-кімнатна квартира,10220.0,original,0,0,0,0,0,0,3229.0,0.0,1.0,0.0,1.0,11161.0,11228.0,9.232101863757695,3229.0
Івано-Франківська,2023-11,2-кімнатна квартира,7420.0,original,0,2,0,2,0,1,3229.0,0.0,0.0,0.0,0.0,10220.0,11161.0,8.911934336161426,3229.0
Івано-Франківська,2023-12,2-кімнатна квартира,10474.0,original,0,0,0,0,0,0,3229.0,2.0,0.0,0.0,0.0,7420.0,10220.0,9.256651274839433,3229.0
Івано-Франківська,2024-01,2-кімнатна квартира,10286.0,original,0,0,0,0,0,0,3229.0,0.0,2.0,0.0,0.0,10474.0,7420.0,9.23853902633486,3229.0
Івано-Франківська,2024-02,2-кімнатна квартира,10886.0,original,0,1,0,1,0,1,3229.0,0.0,0.0,0.0,0.0,10286.0,10474.0,9.295232838994146,3229.0
Івано-Франківська,2024-03,2-кімнатна квартира,9067.0,original,0,2,0,2,0,1,3229.0,1.0,0.0,0.0,0.0,10886.0,10286.0,9.112396727646056,3229.0
Івано-Франківська,2024-04,2-кімнатна квартира,10629.0,original,0,2,0,2,0,1,3229.0,2.0,1.0,0.0,0.0,9067.0,10886.0,9.271341393533582,3229.0
Івано-Франківська,2024-05,2-кімнатна квартира,11352.0,original,0,1,0,1,0,1,3229.0,2.0,2.0,0.0,0.0,10629.0,9067.0,9.337149218839878,3229.0
Івано-Франківська,2024-06,2-кімнатна квартира,11148.0,original,0,3,0,3,0,1,3044.0,1.0,2.0,0.0,0.0,11352.0,10629.0,9.319015388601839,3229.0
Івано-Франківська,2024-07,2-кімнатна квартира,11474.0,original,0,0,0,0,0,0,3044.0,3.0,1.0,0.0,0.0,11148.0,11352.0,9.347838885161817,3044.0
Івано-Франківська,2024-08,2-кімнатна квартира,12286.0,original,1,0,0,1,0,1,3044.0,0.0,3.0,0.0,0.0,11474.0,11148.0,9.416215681723873,3044.0
Івано-Франківська,2024-09,2-кімнатна квартира,13146.0,original,0,3,0,3,0,1,3095.0,1.0,0.0,0.0,0.0,12286.0,11474.0,9.483872808823522,3044.0
